id,resume_text_256,jd_text_128,job_family,seniority,advance
RS00000,"8+ years experience; key skills: linux, containers, kubernetes, aws, requirements, pandas, react, docker. Delivered projects with focus on kubernetes and collaboration. Comfortable with agile.","We are hiring a Senior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: docker, aws.",DevOps,Senior,1
RS00001,"0+ years experience; key skills: kafka, ci/cd, pytest, test-cases. Delivered projects with focus on test-cases and collaboration. Comfortable with agile.","We are hiring a Junior PM professional. Must have: requirements, planning, stakeholders. Nice to have: backlog, communication.",PM,Junior,0
RS00002,"0+ years experience; key skills: bug-tracking, test-cases, java, pytest, spring. Delivered projects with focus on java and collaboration. Comfortable with agile.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: cypress, selenium.",QA,Junior,1
RS00003,"2+ years experience; key skills: test-cases, bug-tracking, testing, ci/cd, aws, kafka, jira. Delivered projects with focus on ci/cd and collaboration. Comfortable with documentation.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: pytest, jira.",QA,Mid,1
RS00004,"9+ years experience; key skills: testing, bug-tracking, test-cases, communication, postgres, cypress, kafka, pytest, api-testing. Delivered projects with focus on communication and collaboration. Comfortable with scrum.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: jira, api-testing.",QA,Senior,1
RS00005,"8+ years experience; key skills: bug-tracking, kafka, scrum, webpack. Delivered projects with focus on webpack and collaboration. Comfortable with documentation.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: api-testing, selenium.",QA,Senior,0
RS00006,"4+ years experience; key skills: monitoring, spring, java. Delivered projects with focus on spring and collaboration. Comfortable with scrum.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: jira, pytest.",QA,Mid,0
RS00007,"10+ years experience; key skills: api-testing, backlog, docker, kubernetes, agile, stakeholders. Delivered projects with focus on kubernetes and collaboration. Comfortable with code reviews.","We are hiring a Senior Data professional. Must have: python, sql, statistics. Nice to have: scikit-learn, numpy.",Data,Senior,0
RS00008,"9+ years experience; key skills: javascript, ui, etl, pytest, tableau. Delivered projects with focus on etl and collaboration. Comfortable with code reviews.","We are hiring a Senior Frontend professional. Must have: javascript, html, css. Nice to have: typescript, accessibility.",Frontend,Senior,0
RS00009,"10+ years experience; key skills: html, css, stakeholders, scrum, bug-tracking, containers, pandas. Delivered projects with focus on scrum and collaboration. Comfortable with agile.","We are hiring a Senior Frontend professional. Must have: javascript, html, css. Nice to have: accessibility, testing.",Frontend,Senior,1
RS00010,"10+ years experience; key skills: statistics, sql, aws, backlog, tableau, test-cases, pandas. Delivered projects with focus on test-cases and collaboration. Comfortable with code reviews.","We are hiring a Senior Data professional. Must have: python, sql, statistics. Nice to have: pandas, scikit-learn.",Data,Senior,1
RS00011,"1+ years experience; key skills: java, kubernetes, aws, react. Delivered projects with focus on kubernetes and collaboration. Comfortable with code reviews.","We are hiring a Junior Backend professional. Must have: java, rest, databases. Nice to have: microservices, spring.",Backend,Junior,0
RS00012,"2+ years experience; key skills: html, css, cypress, test-cases, selenium, linux. Delivered projects with focus on linux and collaboration. Comfortable with agile.","We are hiring a Junior Frontend professional. Must have: javascript, html, css. Nice to have: accessibility, typescript.",Frontend,Junior,1
RS00013,"4+ years experience; key skills: rest, bug-tracking, microservices, kafka, communication, backlog. Delivered projects with focus on microservices and collaboration. Comfortable with documentation.","We are hiring a Mid Backend professional. Must have: java, rest, databases. Nice to have: spring, docker.",Backend,Mid,0
RS00014,"2+ years experience; key skills: rest, databases, ui, pytest, ci/cd, postgres, metrics, javascript. Delivered projects with focus on ui and collaboration. Comfortable with agile.","We are hiring a Junior Backend professional. Must have: java, rest, databases. Nice to have: postgres, docker.",Backend,Junior,1
RS00015,"5+ years experience; key skills: rest, communication, typescript. Delivered projects with focus on communication and collaboration. Comfortable with code reviews.","We are hiring a Mid Frontend professional. Must have: javascript, html, css. Nice to have: testing, ui.",Frontend,Mid,0
RS00016,"10+ years experience; key skills: java, rest, databases, communication, containers, selenium, regression, requirements. Delivered projects with focus on containers and collaboration. Comfortable with code reviews.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: docker, spring.",Backend,Senior,1
RS00017,"2+ years experience; key skills: pytest, test-cases, stakeholders, testing, regression, monitoring. Delivered projects with focus on test-cases and collaboration. Comfortable with scrum.","We are hiring a Mid DevOps professional. Must have: linux, ci/cd, containers. Nice to have: terraform, kubernetes.",DevOps,Mid,0
RS00018,"8+ years experience; key skills: planning, roadmap, communication, roadmap, docker, test-cases, ci/cd. Delivered projects with focus on roadmap and collaboration. Comfortable with code reviews.","We are hiring a Senior PM professional. Must have: requirements, planning, stakeholders. Nice to have: roadmap, backlog.",PM,Senior,0
RS00019,"2+ years experience; key skills: scrum, scrum, etl, css. Delivered projects with focus on scrum and collaboration. Comfortable with scrum.","We are hiring a Mid PM professional. Must have: requirements, planning, stakeholders. Nice to have: communication, metrics.",PM,Mid,0
RS00020,"6+ years experience; key skills: java, regression, testing, ui, linux. Delivered projects with focus on linux and collaboration. Comfortable with agile.","We are hiring a Senior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: bash, terraform.",DevOps,Senior,0
RS00021,"8+ years experience; key skills: python, ci/cd, spring, metrics, stakeholders. Delivered projects with focus on stakeholders and collaboration. Comfortable with scrum.","We are hiring a Senior Data professional. Must have: python, sql, statistics. Nice to have: etl, numpy.",Data,Senior,0
